기준일자,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
20220501,KR7098120009,A098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",20080923,KOSDAQ,주권,벤처기업부,보통주,500,8312766
20220501,KR7131100000,A131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",20110614,KOSDAQ,주권,관리종목(소속부없음),보통주,500,12250629
20220501,KR7009520008,A009520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",19971110,KOSDAQ,주권,우량기업부,보통주,500,41642703
20220501,KR7095570008,A095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",20150821,KOSPI,주권,\N,보통주,1000,46822295
20220501,KR7006840003,A006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",19990811,KOSPI,주권,\N,보통주,5000,13247561
20220501,KR7282330000,A282330,BGF리테일보통주,BGF리테일,BGF Retail,20171208,KOSPI,주권,\N,보통주,1000,17283906
20220501,KR7027410000,A027410,BGF보통주,BGF,BGF,20140519,KOSPI,주권,\N,보통주,1000,95716791
20220501,KR7138930003,A138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,20110330,KOSPI,주권,\N,보통주,5000,325935246
20220501,KR7001461003,A001465,BYC1우선주,BYC우,BYC(1P),19890905,KOSPI,주권,\N,구형우선주,5000,215385
20220501,KR7001460005,A001460,BYC보통주,BYC,BYC,19750602,KOSPI,주권,\N,보통주,5000,624615
20220501,KR7001041003,A001045,CJ1우선주,CJ우,CJ(1P),19890818,KOSPI,주권,\N,구형우선주,5000,2260223
20220501,KR700104K010,A00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),20190809,KOSPI,주권,\N,신형우선주,5000,4226512
20220501,KR7001040005,A001040,CJ보통주,CJ,CJ Corp.,19730629,KOSPI,주권,\N,보통주,5000,29176998
20220501,KR7011151008,A011155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),19900113,KOSPI,주권,\N,구형우선주,500,200000
